name,category,price_hot,price_cold,image,is_favorite,description
Manggo Yakult,Non Coffee,,16,mango-yakult.webp,FALSE,Kesegaran mangga dicampur yakult
Teh Tarik,Tea,11,13,https://upload.wikimedia.org/wikipedia/commons/2/26/Teh_Tarik.jpg,FALSE,Teh susu khas melayu yang ditarik
Matcha Latte,Tea,18,20,matcha-latte.webp,FALSE,Teh hijau Jepang dengan susu
Matcha Lemon,Tea,15,17,matcha-latte.webp,FALSE,Matcha segar dengan perasan lemon
Matcha Yakult,Tea,,17,matcha.webp,FALSE,Matcha dengan rasa asam manis Yakult
Lemon Tea,Tea,9,11,Lemontea.jpeg,FALSE,Teh dengan irisan lemon segar
Milk Tea,Tea,15,16,Lemontea.jpeg,FALSE,Teh susu klasik yang creamy
Kopi Tubruk,Traditional Coffee,8,,https://kopikita.id/wp-content/uploads/2023/01/Kopi-Tubruk.jpg,FALSE,Kopi hitam tradisional tanpa saring
Kopi Turki,Traditional Coffee,8,10,https://www.grandturkishbazaar.com/wp-content/uploads/2017/12/kuru-kahveci-mehmet-efendi-turkish-coffee-500g-9.jpg,FALSE,Kopi ala turki yang pekat
Cappucino Float,Float,,25,https://img-global.cpcdn.com/recipes/4edcbd3d894063ae/680x781cq80/cappucino-float-ice-foto-resep-utama.jpg,FALSE,Cappucino dengan topping es krim
Chocolate Float,Float,,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgytHBU1z9CaywfCddsTiME-cq0L27s1mvnA&s,FALSE,Coklat dingin dengan topping es krim
Hazelnut Float,Float,,25,https://media.saltwindscoffee.com/wp-content/uploads/2023/06/AdobeStock_464132584-scaled-e1688479479743-1300x744.jpeg,FALSE,Minuman hazelnut dengan es krim
Caramel Machiatoo Float,Float,,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQos8Um9VyiC6CSKI2ymekHWy8hJTZmphvTHw&s,FALSE,Caramel macchiato dengan es krim
